date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:54	247/247	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jul%202015%2015:47:31%20GMT	http://fresnoposible.fresnodigital.info/robots.txt		(from )
10:47:55	34781/34781	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:32%20GMT	http://fresnoposible.fresnodigital.info/	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/index.html	(from )
10:47:55	310/310	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2003%20Jul%202015%2015:47:32%20GMT	http://fresnoposible.fresnodigital.info/xmlrpc.php	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/xmlrpc.php	(from http://fresnoposible.fresnodigital.info/)
10:47:56	27519/27519	---M-Z	200	added ('OK')	text/css	etag:%2220027de7-6b7f-50e50ab62b889%22	http://fresnoposible.fresnodigital.info/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=3.2	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-content/themes/twentyfifteen/genericons/genericonscf1b.css	(from http://fresnoposible.fresnodigital.info/)
10:47:56	22164/22164	---MCZ	200	added ('OK')	text/xml	etag:%222fbc8475a01b874c3df6bb12ead71a75%22	http://fresnoposible.fresnodigital.info/?feed=rss2	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/indexd784.html	(from http://fresnoposible.fresnodigital.info/)
10:47:56	92356/92356	---M-Z	200	added ('OK')	text/css	etag:%22a0419871-168c4-50e50ab62bc71%22	http://fresnoposible.fresnodigital.info/wp-content/themes/twentyfifteen/style.css?ver=4.1.5	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-content/themes/twentyfifteen/style31a4.css	(from http://fresnoposible.fresnodigital.info/)
10:47:56	747/747	---MCZ	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://fresnoposible.fresnodigital.info/?feed=comments-rss2	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/indexa6da.html	(from http://fresnoposible.fresnodigital.info/)
10:47:57	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%2281219a53-1c20-50e50ab631e19%22	http://fresnoposible.fresnodigital.info/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://fresnoposible.fresnodigital.info/)
10:47:57	310/310	---M-Z	403	error ('Forbidden')	text/html	date:Fri,%2003%20Jul%202015%2015:47:34%20GMT	http://fresnoposible.fresnodigital.info/xmlrpc.php?rsd	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/xmlrpc0db0.php	(from http://fresnoposible.fresnodigital.info/)
10:47:57	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Thu,%2005%20Feb%202015%2005:35:19%20GMT	http://fresnoposible.fresnodigital.info/wp-includes/wlwmanifest.xml	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-includes/wlwmanifest.xml	(from http://fresnoposible.fresnodigital.info/)
10:47:58	13391/13391	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:35%20GMT	http://fresnoposible.fresnodigital.info/?page_id=409	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/indexb616.html	(from http://fresnoposible.fresnodigital.info/)
10:47:58	95807/95807	---M-Z	200	added ('OK')	application/javascript	etag:%2280565b0c-1763f-50e50ab631261%22	http://fresnoposible.fresnodigital.info/wp-includes/js/jquery/jquery.js?ver=1.11.1	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-includes/js/jquery/jquery90f9.js	(from http://fresnoposible.fresnodigital.info/)
10:47:59	14564/14564	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:36%20GMT	http://fresnoposible.fresnodigital.info/?page_id=356	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/index4c00.html	(from http://fresnoposible.fresnodigital.info/)
10:47:59	13967/13967	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:36%20GMT	http://fresnoposible.fresnodigital.info/?page_id=411	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/index7ff0.html	(from http://fresnoposible.fresnodigital.info/)
10:47:59	13284/13284	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:37%20GMT	http://fresnoposible.fresnodigital.info/?page_id=407	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/indexe28f.html	(from http://fresnoposible.fresnodigital.info/)
10:48:01	44139/44139	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:37%20GMT	http://fresnoposible.fresnodigital.info/?page_id=274	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/indexc492.html	(from http://fresnoposible.fresnodigital.info/)
10:48:02	20998/20998	---M--	200	added ('OK')	image/jpeg	etag:%22e0349db4-5206-4cce3d29d2880%22	http://fresnoposible.fresnodigital.info/wp-content/uploads/2012/10/p10103362-300x225.jpg	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/wp-content/uploads/2012/10/p10103362-300x225.jpg	(from http://fresnoposible.fresnodigital.info/)
10:48:03	13157/13157	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202015%2015:47:40%20GMT	http://fresnoposible.fresnodigital.info/?page_id=3	c:/BLOGSFRESNO/FRESNOPOSIBLE/fresnoposible.fresnodigital.info/index3b72.html	(from http://fresnoposible.fresnodigital.info/)
